pid,smiles,dens_clean
P070214,*OCCCCC(=O)NCC1=CC=C(CNC(=O)CCCC*)C=C1,1.178
P070231,*OC1=CC=C(NC(=O)C2=CC(C(=O)NC3=CC=C(*)C=C3)=CC=C2)C=C1,1.26
P070232,*OC1=CC=C(NC(=O)C2=CC=C(C(=O)NC3=CC=C(*)C=C3)C=C2)C=C1,1.37
P070339,*c6ccc(C(=O)Nc5ccc(Oc4ccc(NC(=O)c3ccc(C2(*)OC(=O)c1ccccc12)cc3)cc4)cc5)cc6,1.287
P074466,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(=O)NC5=CC=C(*)C=C5)=CC=C4)C=C3)C=C2)C=C1,1.63
P074467,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(=O)NC5=CC=C(*)C=C5)=CC(C(C)(C)C)=C4)C=C3)C=C2)C=C1,1.55
P080108,*SCCCCC(=O)NCC1=CC=C(CNC(=O)CCCC*)C=C1,1.2005
P080109,*SCCCCCC(=O)NCC1=CC=C(CNC(=O)CCCCC*)C=C1,1.175
P080110,*SCCCCCCC(=O)NCC1=CC=C(CNC(=O)CCCCCC*)C=C1,1.157
P080111,*SCCCCCCCCC(=O)NCC1=CC=C(CNC(=O)CCCCCCCC*)C=C1,1.127
P080112,*SCCCCCCCCCCC(=O)NCC1=CC=C(CNC(=O)CCCCCCCCCC*)C=C1,1.094
P080113,*SCCCCC(=O)NCCC1=CC=C(CCNC(=O)CCCC*)C=C1,1.174
P080114,*SCCCCCC(=O)NCCC1=CC=C(CCNC(=O)CCCCC*)C=C1,1.148
P080115,*SCCCCCCC(=O)NCCC1=CC=C(CCNC(=O)CCCCCC*)C=C1,1.132
P080116,*SCCCCCCCCC(=O)NCCC1=CC=C(CCNC(=O)CCCCCCCC*)C=C1,1.106
P080117,*SCCCCCCCCCCC(=O)NCCC1=CC=C(CCNC(=O)CCCCCCCCCC*)C=C1,1.067
P090291,*OCCCCCCCCCCCCOC(=O)C1=CC=C(C(=O)NCCCCCCCCCCCCNC(=O)C2=CC=C(C(=O)*)C=C2)C=C1,1.176
P090292,*OCCOC(=O)C1=CC=C(C(=O)NCCCCCCCCCCCCNC(=O)C2=CC=C(C(=O)*)C=C2)C=C1,1.213
P090293,*OC(=O)CCCCC(=O)OCCCCCC(=O)NCCCCCCNC(=O)CCCCC*,1.135
P090294,*OCCCCCCOC(=O)C1=CC=C(C(=O)NCCCCCCCCCCCCNC(=O)C2=CC=C(C(=O)*)C=C2)C=C1,1.2155
P090295,*OCCCCCCOC(=O)C1=CC=C(C(=O)NCCCCCCNC(=O)C2=CC=C(C(=O)*)C=C2)C=C1,1.2775
P100001,*NC(=O)CC*,1.3400000000000003
P100002,*NCCCCNC(=O)CCCCC(=O)*,1.2239583333333333
P100003,*NCCCCCNC(=O)CCCCC(=O)*,1.14
P100004,*NC(=O)CCCCC*,1.1445092715231788
P100005,*NC(=O)CCCCC(=O)NCCCCCC*,1.1445253012048195
P100006,*NCCCCCCNC(=O)CCCCCC(=O)*,1.135
P100007,*NCCCCCCNC(=O)CCCCCCC(=O)*,1.143
P100008,*NCCCCCCNC(=O)CCCCCCCC(=O)*,1.0945
P100009,*NC(=O)CCCCCCCCC(=O)NCCCCCC*,1.0976344827586209
P100010,*NCCCCCCNC(=O)CCCCCCCCCCC(=O)*,1.06
P100011,*NC(=O)CCCCCC*,1.1275666666666666
P100012,*NCCCCCCCNC(=O)CCCCC(=O)*,1.1135000000000002
P100013,*NCCCCCCCNC(=O)CCCCCC(=O)*,1.0850000000000002
P100014,*NC(=O)CCCCCCC*,1.088631818181818
P100016,*NCCCCCCCCNC(=O)CCCCCCCCC(=O)*,1.0725500000000001
P100017,*NCCCCCCCCNC(=O)CCCCCCCCCCC(=O)*,1.062
P100018,*NCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)*,1.021
P100019,*NC(=O)CCCCCCCC*,1.0722272727272726
P100022,*NC(=O)CCCCCCCCC*,1.0501666666666667
P100023,*NCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)*,1.1985000000000001
P100024,*NC(=O)CCCCCCCCCC*,1.0472619047619045
P100025,*NC(=O)CCCCCCCCCCC*,1.0167658536585369
P100027,*NCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)*,1.01
P100028,*NC(=O)CCCCCCCCCCCC*,1.029
P100029,*NCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)*,1.013
P100030,*NCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)*,0.998
P100041,*NC(=O)CCCCCCCCC(=O)NCCCCCCCCCC*,1.0464875
P100042,*NCCCN(C)CCCNC(=O)CCCCC(=O)*,1.1150000000000002
P100044,*NC(=O)CCCCC(=O)NCCCP(C)(=O)CCCC*,1.15
P100045,*NC(=O)CCCCC(=O)NCCCP(C)(=O)CCC*,1.2
P100047,*NC(=O)CCCCC(=O)NCCCP(c1ccccc1)CCC*,1.16
P100059,*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(=O)*)CC2)CC1,1.05
P100062,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCCC(=O)*)cc1,1.077
P100063,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCCC(=O)*)cc1,1.055
P100064,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCC(=O)*)cc1,1.091
P100065,*NCCc1ccc(CCNC(=O)CCCCCCCCCC(=O)*)cc1,1.108
P100066,*NCCc1ccc(CCNC(=O)CCCCCCCCC(=O)*)cc1,1.139
P100068,*NC(=O)c1cc(C(=O)Nc2ccc(c3ccc(*)cc3)cc2)ccc1,1.52
P100076,*NC(=O)c1cc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)ccc1,1.28
P100080,*NC(=O)CC(C)CCC(=O)NCCCCCC*,1.094
P100094,*NC(=O)Cc1ccc(CC(=O)NCCCCCCCC*)cc1,1.152
P100099,*NC1CC(C)(CNC(=O)CCCCC(=O)*)CC(C)(C)C1,1.08
P100101,*NCc1cc(CNC(=O)CCCCC(=O)*)ccc1,1.22053
P100104,*NCc1ccc(CNC(=O)CCCCCCCCCCC(=O)*)cc1,1.129
P100105,*NCc1ccc(CNC(=O)CCCCCCCCCCCCCCCCC(=O)*)cc1,1.075
P100107,*NCc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)*)cc1,1.09
P100108,*NCc1ccc(CNC(=O)CCCCCCCCC(=O)*)cc1,1.1520000000000001
P100109,*NCc1ccc(CNC(=O)CCCCCCCCCCCC(=O)*)cc1,1.108
P100110,*NCc1ccc(CNC(=O)CCCCCCCCCC(=O)*)cc1,1.13
P100112,*NC(=O)CC(C)(C)*,1.11
P100118,*Nc2cccc3c(NC(=O)c1cccc(C(*)=O)c1)cccc23,1.34
P100119,*Nc2cccc3c(NC(=O)c1ccc(C(*)=O)cc1)cccc23,1.38
P100121,*NC(=O)Cc1ccc(CC(=O)NCCCCCCCCCCCCCCCCCC*)cc1,1.036
P100123,*NC(=O)CCc1ccc(CCC(=O)NCCCCCCCCCCCC*)cc1,1.08
P100124,*NC(=O)CCc1ccc(CCC(=O)NCCCCCCCCCCCCCCCCCC*)cc1,1.034
P100126,*NC1=CC(NC(=O)C2=CC(C(=O)*)=CC=C2)=CC=C1,1.3646444444444445
P100127,*NC1=CC=C(NC(=O)C2=CC(C(=O)*)=CC=C2)C=C1,1.246
P100130,*NC1=CC(NC(=O)C2=CC=C(C(=O)*)C=C2)=CC=C1,1.36
P100131,*NC1=CC=C(NC(=O)C2=CC=C(C(=O)*)C=C2)C=C1,1.4559523809523807
P100132,*NC(=O)c1ccc(C(=O)Nc2ccc(c3ccc(*)cc3)cc2)cc1,1.46
P100134,*NC(=O)c1ccc(C(=O)NCCCCCCCCCCCC*)cc1,1.152
P100137,*NC(=O)c1ccc(C(=O)NCCCCCCCCC*)cc1,1.154
P100143,*NC(=O)c1ccc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc1,1.19
P100167,*NC(=O)CCCCCCCC(=O)NCCCCCCCCC*,1.051
P100168,*NC(=O)CCCCCCC(=O)NCCCCCCCC*,1.109
P100169,*NC(=O)C*,1.5375
P100170,*NC(CCC(=O)OC)C(=O)*,1.316375
P100172,*N1CCN(C(=O)CCCCCCCCC(=O)*)CC1,0.9260999999999999
P100178,*N1CCN(C(=O)CCCCCCCCC(=O)N2CCN(CCCCCCCCCC*)CC2)CC1,0.9709
P100179,*NC(=O)CCCCCCCC(=O)NCCCCCCCCCC*,0.9867
P100180,*N(CCCC)C(=O)*,1.0350000000000001
P100181,*NC(=O)C(C)(C)C*,1.1945000000000001
P100186,*NC(=O)CC(C)*,1.2035
P100187,*NC(=O)CCC*,1.2745000000000002
P100188,*NC(=O)CC(C)CCC*,1.085
P100189,*NC(=O)CCCC*,1.2
P100191,*NC(=O)CCCCC(=O)NC*,1.31
P100192,*NC(=O)CCCCCCCCC(=O)NC*,1.19
P100196,*NC(=O)CCC(=O)NCCCC*,1.28
P100198,*NC(=O)CCCCCCC(=O)NCCCC*,1.147
P100199,*NC(=O)CCCCCCCC(=O)NCCCC*,1.127
P100200,*NC(=O)CCCCCCCCC(=O)NCCCC*,1.1045
P100203,*NC(=O)CC(=O)NCCCCC*,1.233
P100204,*NC(=O)CCCC(=O)NCCCCC*,1.15175
P100205,*NC(=O)CCCCCC(=O)NCCCCC*,1.131
P100210,*NC(=O)CCCC(=O)NCCCCCC*,1.2
P100212,*NC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCCC*,1.04
P100213,*NC(=O)CCCCCCCC(=O)NCCCCCCC*,1.0855000000000001
P100214,*NC(=O)CCCCCCCCC(=O)NCCCCCCC*,1.082
P100216,*NC(=O)CCCCCCCC(=O)NCCCCCCCC*,1.079
P100218,*NC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCCCCC*,1.03
P100227,*NC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCC*,1.024
P100229,*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCC*,1.01
P100230,*NC(=O)CCCCC(=O)NCCCCCCCCCCC*,1.066
P100233,*NC(=O)CCCCCCCCC(=O)NCCCCCCCCCCCC*,1.0924999999999998
P100234,*NC(=O)CCCCCCCCCCC(=O)NCCCCCCCCCCCC*,1.02325
P100235,*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCC*,1.006
P100236,*NC(=O)CCCCCCCCC(=O)NCCCCCCCCCCCCCC*,1.042
P100237,*NC(=O)CCCCCCCCCCC(=O)NCCCCCCCCCCCCCC*,1.027
P100238,*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCCCC*,0.999
P100239,*NC(=O)CCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC*,1.024
P100240,*NC(=O)CCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC*,1.015
P100241,*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC*,0.99
P100247,*NC1=CC=C(C(=O)*)C=C1,1.4991249999999998
P100268,*NC(=O)CCC(=O)NCCCCCC*,1.26
P100288,*NC(=O)Cc1ccc(CC(=O)NCCCCCC*)cc1,1.182
P100300,*NC(=O)CCc1ccc(CCC(=O)NCCCCCCCC*)cc1,1.151
P100303,*NC(=O)Cc1ccc(CC(=O)NCCCCCCCCCC*)cc1,1.13
P100304,*NC(=O)CCc1ccc(CCC(=O)NCCCCCCCCCC*)cc1,1.12
P100309,*NC(=O)Cc1ccc(CC(=O)NCCCCCCCCCCCC*)cc1,1.095
P100310,*NC(=O)c1ccc(C(=O)NCCCCCCCCCCCCCC*)cc1,1.115
P100311,*NC(=O)Cc1ccc(CC(=O)NCCCCCCCCCCCCCC*)cc1,1.075
P100312,*NC(=O)CCc1ccc(CCC(=O)NCCCCCCCCCCCCCC*)cc1,1.0703333333333334
P100313,*NC(=O)c1ccc(C(=O)NCCCCCCCCCCCCCCCCCC*)cc1,1.067
P100365,*NCc1ccc(CNC(=O)CCCCCCCC(=O)*)cc1,1.152
P100366,*NCCc1ccc(CCNC(=O)CCCCCCCC(=O)*)cc1,1.14
P100376,*NCCc1ccc(CCNC(=O)CCCCCCCCCCC(=O)*)cc1,1.108
P100378,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCC(=O)*)cc1,1.095
P100380,*NCc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)*)cc1,1.11
P100381,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)*)cc1,1.05
P100394,*N(C)C(=O)CCCCCCCCCC*,1.005
P100430,*N1CC(O)CC1C(=O)*,1.415
P100431,*N1CCCC1C(=O)*,1.2725
P100432,*NC(CCCNC(=O)OCc1ccccc1)C(=O)*,1.2446666666666666
P100434,*NC(CCCCN)C(=O)*,1.26
P100435,*N1CCCC1C(=O)N2CCCC2C(=O)NCC(=O)*,1.32
P100437,*N1CCCC1C(=O)NCC(=O)NCC(=O)*,1.35
P100439,*NC(CCC(=O)OCC1=CC=CC=C1)C(=O)*,1.2850476190476192
P100440,*NC(=O)C(CCC(=O)O)*,1.42
P100441,*NC(CCNC(=O)OCc1ccccc1)C(=O)*,1.1875
P100443,*NC(=O)C(CC(=O)OCCC)*,1.2635
P100444,*NC(CC(=O)OCc1ccc(Cl)cc1)C(=O)*,1.415
P100448,*NC(C)C(=O)N1CCCC1C(=O)NCC(=O)*,1.41
P100456,*NC(C)C(=O)*,1.2650000000000001
P100463,*C1=NC=C(C(=O)NCCCCCCNC(=O)*)C=C1,1.266
P100532,*C(=O)NCCCCCCNC(=O)*,1.278
P100632,*c5ccc(C(=O)Nc4ccc(NC(=O)c3ccc(C2(*)OC(=O)c1ccccc12)cc3)cc4)cc5,1.3
P100633,*c6ccc(C(=O)Nc5ccc(c4ccc(NC(=O)c3ccc(C2(*)OC(=O)c1ccccc12)cc3)cc4)cc5)cc6,1.27
P100634,*c8ccc(C(=O)Nc7ccc(C6(c4ccc(NC(=O)c3ccc(C2(*)OC(=O)c1ccccc12)cc3)cc4)OC(=O)c5ccccc56)cc7)cc8,1.28
P100635,*c8ccc(C(=O)Nc7ccc(C6(c4ccc(NC(=O)c3ccc(C2(*)OC(=O)c1ccccc12)cc3)cc4)NC(=O)c5ccccc56)cc7)cc8,1.278
P100636,*NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)*,1.2650000000000001
P100637,*NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(C)*,1.24
P100638,*NC(=O)C(C)NC(=O)CCC*,1.2149999999999999
P100639,*NC(=O)C(C)NC(=O)CCCCC*,1.16
P100640,*NC(=O)C(C)NC(=O)CC*,1.275
P100641,*NC(=O)C(C)NC(=O)CCCC*,1.145
P100642,*NC(=O)C(C(C)C)NC(=O)C(C)*,1.2650000000000001
P100645,*NC(=O)C(CCC(=O)NCCCCO)*,1.21
P100646,*NC(=O)C(CCC(=O)NCCO)*,1.3250000000000002
P100647,*NC(=O)C(CCC(=O)NCCCO)*,1.19
P100649,*NC(=O)CNC(=O)CC*,1.435
P100650,*NC(=O)CNC(=O)CCNC(=O)CC*,1.42
P100651,*C1CCCN1C(=O)C2CCCN2C(=O)NC(c3ccccc3)C(=O)*,1.24
P100652,*NC(=O)C(C(Cc1ccccc1)C2=CNC=N2)*,1.175
P100654,*NC(CC(C)C)C(=O)*,1.07
P100657,*NC(CCSC)C(=O)*,0.88
P100659,*NC(Cc1ccc(OC(=O)OCc2ccccc2)cc1)C(=O)*,1.205
P100660,*NC(=O)C(C(C)C)*,1.135
P100661,*NC1CCCC1C(=O)*,1.232
P100662,*NC(=O)C(C)(CCCC)C*,1.039
P100663,*NC(=O)C(C)(CC)C*,1.133
P100664,*NC(=O)C(C)(CCC)C*,1.067
P100665,*C1OC(NC(=O)*)CCC1,1.26
P100666,*NCC1CC(CNC(=O)CCCCC(=O)*)CCC1,1.1429666666666665
P100667,*NCC1CC(CNC(=O)CCCCCCCCCCC(=O)*)CCC1,1.0950000000000002
P100668,*NCC1CC(CNC(=O)CCCCCCC(=O)*)CCC1,1.12
P100669,*NCCCCCCCNC(=O)CCCCCCC(=O)*,1.112
P100673,*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(=O)*)CC2)CC1,0.917
P100676,*NCNC(=O)CC(=O)*,1.5550000000000002
P100678,*NC(CC(=O)OCc1ccccc1)C(=O)*,1.296
P100679,*NC(=O)C(CC(=O)OCCC1=CC=CC=C1)*,1.3016666666666665
P100681,*NC(=O)C(CCC(=O)OCCCCC)*,1.106
P100682,*NC(=O)C(CCC(=O)OCCCC)*,1.12
P100683,*NC(CCC(=O)OCc1ccc(Cl)cc1)C(=O)*,1.3665
P100684,*NC(CCC(=O)OCc1cc(Cl)ccc1)C(=O)*,1.3495
P100685,*NC(CCC(=O)OCc1c(Cl)cccc1)C(=O)*,1.3744999999999998
P100686,*NC(=O)C(CCC(=O)OCCCCCC)*,1.078
P100687,*NC(=O)C(CCC(=O)OCCc1ccccc1)*,1.1900000000000002
P100688,*NC(=O)C(CCC(=O)OCC)*,1.233
P100690,*NC(=O)C(CCC(=O)OCCCCCCCC)*,1.05
P100691,*NC(=O)C(CCC(=O)OCCC)*,1.16
P100692,*NC(=O)C(CCC(=O)OCCCc1ccccc1)*,1.08
P100695,*NC(=O)CCCCC(C)*,1.08
P100702,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCCCCC*,0.975
P100713,*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCC*,1.032
P100715,*NC(=O)C(CCCC)C(=O)NCCCCCC*,1.052
P100716,*NC(=O)C(CCCCCCCCCC)C(=O)NCCCCCC*,1.0003
P100718,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCC*,0.998
P100719,*NC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.985
P100720,*NC(=O)C(CCCCCCC)C(=O)NCCCCCC*,1.021
P100721,*NC(=O)C(CCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.99
P100722,*NC(=O)C(CCCCCC)C(=O)NCCCCCC*,1.026
P100723,*NC(=O)C(CCCCCCCCC)C(=O)NCCCCCC*,1.008
P100724,*NC(=O)C(CCCCCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.975
P100725,*NC(=O)C(CCCCCCCC)C(=O)NCCCCCC*,1.02
P100726,*NC(=O)C(CCCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.995
P100727,*NC(=O)C(CCCCC)C(=O)NCCCCCC*,1.039
P100728,*NC(=O)C(CCC)C(=O)NCCCCCC*,1.061
P100729,*NC(=O)C(CCCCCCCCCCCCCC)C(=O)NCCCCCC*,0.993
P100730,*NC(=O)C(CCCCCCCCCCCCC)C(=O)NCCCCCC*,0.993
P100731,*NC(=O)C(CCCCCCCCCCC)C(=O)NCCCCCC*,1.004
P100746,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCCCC*,0.977
P100752,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCCCCC*,0.996
P100753,*NC(=O)C(CCCCCCCCCCCC)C(=O)NCCCCC*,0.996
P100760,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCC(=O)*)cc1,1.067
P100761,*NCCc1ccc(CCNC(=O)CCCCCCCCCCCCCC(=O)*)cc1,1.075
