pid,smiles,tens_mod_clean
P433412,*c6ccc(C(=O)Nc5ccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)cc5)cc6,9.8
P433411,*c5ccc(C(=O)Nc4ccc(n3c(=O)c2cc1c(=O)n(*)c(=O)c1cc2c3=O)cc4)cc5,9.72
P400190,*NC(=O)c1cc(C(=O)Nc2ccc(c3ccc(*)c(O)c3)cc2O)ccc1,8.956
P433413,*c7ccc(C(=O)Nc6ccc(n5c(=O)c4ccc(C(=O)Oc3ccc(OC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4c5=O)cc6)cc7,8.3
P402129,*NC1=CC=C(NC(=O)C2=CC(C(=O)*)=C(C(=O)OCC)C=C2(C(=O)OCC))C=C1,8.0
P070232,*OC1=CC=C(NC(=O)C2=CC=C(C(=O)NC3=CC=C(*)C=C3)C=C2)C=C1,7.6135
P100143,*NC(=O)c1ccc(C(=O)Nc2ccc(Cc3ccc(*)cc3)cc2)cc1,7.204
P402349,*c5ccc(C(=O)Nc4ccc(C(=O)Nc3ccc(NC(=O)c2ccc1[nH]c(*)nc1c2)cc3)cc4)cc5,5.1
P432110,*C(=O)Nc%11cc(C(=O)c%12cc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)ccc%12)ccc%11,4.56
P430403,*n5c(=O)c4ccc(C(=O)Nc1cc(NC(=O)c2cc(C(=O)Nc3cc(*)ccc3)ccc2)ccc1)cc4c5=O,4.4
P430404,*n5c(=O)c4ccc(C(=O)Nc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(*)cc3)ccc2)cc1)cc4c5=O,4.3
P372293,*Oc5cc(Oc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(*)cc4)c(C)c3)cc2C)cc1)ccc5,4.2953
P373302,*c1ccc(NC(=O)c2ccc(OCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)cc1,4.2
P372292,*Oc5ccc(Oc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(*)cc4)c(C)c3)cc2C)cc1)cc5,4.1286
P432255,*n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(c5ccc(NC(=O)c6ccc(*)cc6)cc5)c(=O)c1c2)cc3c4=O,4.109
P100011,*NC(=O)CCCCCC*,4.05
P432115,*C(=O)Nc%11ccc(Oc%13ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%13)cc%11,3.84
P430108,*c%10cccc(C(=O)Nc9cc(S(=O)(=O)c6cccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)c6)ccc9)c%10,3.805
P432107,*C(=O)Nc%11ccc(Oc%12cccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)c%12)cc%11,3.79
P432116,*C(=O)Nc%11ccc(Oc%13ccc(C(C)(C)c%14ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%14)cc%13)cc%11,3.61
P432463,*n3c(=O)c2cc1c(=O)n(c4ccc(NC(=O)c5ccc(*)cc5)c(C(=O)OCC)c4)c(=O)c1cc2c3=O,3.6
P402364,*Nc1cc(Cc2ccc(NC(=O)c3ccc(P(=O)(c4ccccc4)c5ccc(C(=O)*)cc5)cc3)cc2)ccc1,3.57
P430405,*n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(c5cc(NC(=O)c6cc(C(=O)Nc7cc(*)ccc7)ccc6)ccc5)c(=O)c1c2)cc3c4=O,3.5
P430123,*c7cccc(C(=O)Nc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c1cccc2c(=O)n(*)c(=O)c12)cc3c4=O)c5)cc6)c7,3.4617
P402069,*Nc1ccc(Cc2ccc(NC(=O)c3ccc(c4ccc(C(=O)*)c(C)c4)cc3C)cc2)cc1,3.4519
P372294,*Oc5ccc(Oc6ccc(Oc1ccc(NC(=O)c2ccc(c3ccc(C(=O)Nc4ccc(*)cc4)c(C)c3)cc2C)cc1)cc6)cc5,3.4127
P432106,*C(=O)Nc%11ccc(Oc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%11,3.39
